candidate,city,date,event,lat,lng,state
Rand Paul,Baton Rouge,2014-11-10T00:00:00.000Z,GOP unity rally ,30.4507462,-91.154551,LA
Rick Santorum,Lynchburg,2014-11-10T00:00:00.000Z,Foreign policy speech at Liberty University ,37.40088,-79.18449229,VA
Rick Perry,Concord,2014-11-10T00:00:00.000Z,Dartmouth College,43.207106,-71.5370216,NH
Rick Perry,Hanover,2014-11-10T00:00:00.000Z,Dartmouth College,43.7033561,-72.2885718,NH
Rick Perry,Manchester,2014-11-10T00:00:00.000Z,Dartmouth College,42.9956397,-71.4547891,NH
Rick Perry,Keene,2014-11-10T00:00:00.000Z,Dartmouth College,42.933597,-72.2784264,NH
Rick Perry,Myrtle Beach,2014-11-12T00:00:00.000Z,Myrtle Beach Area Chamber of Commerce luncheon ,33.6956461,-78.8900409,SC
Rick Perry,Bluffton,2014-11-12T00:00:00.000Z,Myrtle Beach Area Chamber of Commerce luncheon ,32.2371465,-80.8603868,SC
Rick Perry,Hilton Head Island,2014-11-12T00:00:00.000Z,Myrtle Beach Area Chamber of Commerce luncheon ,32.216316,-80.752608,SC
Ben Carson,Portage,2014-11-13T00:00:00.000Z,Family Valley Church,42.2011538,-85.5800022,MI
Chris Christie,Washington,2014-11-17T00:00:00.000Z,Spoke to incoming House Republicans,38.8949549,-77.0366456,DC
Rick Perry,Sarasota,2014-11-17T00:00:00.000Z,Sarasota Republican Party event ,27.3364347,-82.5306527,FL
Jeb Bush,New York,2014-11-17T00:00:00.000Z,Met with Wall Street donors ,40.7305991,-73.9865812,NY
Rick Santorum,Evanston,2014-11-19T00:00:00.000Z,Foreign policy speech at Northwestern University,42.0447388,-87.6930459,IL
Martin O'Malley,New York,2014-11-19T00:00:00.000Z,Met with potential donors ,40.7305991,-73.9865812,NY
Jeb Bush,Washington,2014-11-20T00:00:00.000Z,Spoke at Foundation for Excellence in Education Reform conference,38.8949549,-77.0366456,DC
Ben Carson,Des Moines,2014-11-22T00:00:00.000Z,Family Leader's annual fundraising banquet,41.5910641,-93.6037149,IA
Marco Rubio,Gonzales,2014-11-22T00:00:00.000Z,Early voting rallies ,29.5040755,-97.44460353,LA
Marco Rubio,Kenner,2014-11-22T00:00:00.000Z,Early voting rallies ,29.9942265,-90.2417806,LA
Ted Cruz,New York,2014-11-24T00:00:00.000Z,Zionist Organization of America's annual dinner; met with Sheldon Adelson privately,40.7305991,-73.9865812,NY
George Pataki,Durham,2014-11-24T00:00:00.000Z,No trip details,43.1340949,-70.9265127,NH
George Pataki,Henniker,2014-11-24T00:00:00.000Z,No trip details,43.1798012,-71.822301,NH
Rick Perry,Lafayette,2014-11-25T00:00:00.000Z,Early voting rallies,30.2240897,-92.0198427,LA
Rick Perry,Baton Rouge,2014-11-25T00:00:00.000Z,Early voting rallies,30.4507462,-91.154551,LA
Rick Perry,Covington,2014-11-25T00:00:00.000Z,Early voting rallies,31.196549,-86.4597236,LA
Jeb Bush,Washington,2014-12-01T00:00:00.000Z,Fundraiser for Bill Cassidy's campaign at NRSC headquarters ,38.8949549,-77.0366456,DC
Bobby Jindal,Dallas,2014-12-02T00:00:00.000Z,Park Cities Republican women event; meetings for America Next,32.7761963,-96.7968994,TX
Hillary Clinton,Washington,2014-12-03T00:00:00.000Z,Georgetown University ,38.8949549,-77.0366456,DC
Rick Santorum,Shreveport,2014-12-03T00:00:00.000Z,Rally,32.4828485,-93.82848316,LA
Bobby Jindal,Washington,2014-12-03T00:00:00.000Z,Foreign Policy Intitative Forum ,38.8949549,-77.0366456,DC
Hillary Clinton,Boston,2014-12-04T00:00:00.000Z,Massachusetts Conference for Women,42.3604823,-71.0595678,MA
Carly Fiorina,Manchester,2014-12-05T00:00:00.000Z,Independent Business Council of New Hampshire event ,42.9956397,-71.4547891,NH
Ben Carson,Henderson,2014-12-05T00:00:00.000Z,Freed-Hardeman University dinner,35.6418311,-88.3949437,TN
Bobby Jindal,Chantilly,2014-12-06T00:00:00.000Z,Annual Virigina Republican Party gathering ,38.8943792,-77.4305118,VA
Rand Paul,Jackson,2014-12-08T00:00:00.000Z,Mississippi Republican Party luncheon,32.4104385,-90.16206489,MS
John Kasich,Phoenix,2014-12-10T00:00:00.000Z,Promoting federal balanced budget amendment,33.4467681,-112.0756724,AZ
Martin O'Malley,Seattle,2014-12-10T00:00:00.000Z,Fundraiser,47.6038321,-122.3300624,WA
Jeb Bush,Columbia,2014-12-15T00:00:00.000Z,Delivered commencement address at University of South Carolina,34.0007493,-81.0343313,SC
Bobby Jindal,Des Moines,2014-12-16T00:00:00.000Z,Polk County Republican Party holiday party,41.5910641,-93.6037149,IA
Bernie Sanders,Altoona,2014-12-16T00:00:00.000Z,Progress Iowa event,41.6441557,-93.4646571,IA
Carly Fiorina,Washington,2014-12-18T00:00:00.000Z,Heritage Foundation speech,38.8949549,-77.0366456,DC
Jeb Bush,Chicago,2014-12-19T00:00:00.000Z,Met with donors and fundraisers ,41.8755546,-87.6244212,IL
Carly Fiorina,Washington,2015-01-06T00:00:00.000Z,Celebration dinner with Frank Guinta,38.8949549,-77.0366456,DC
Chris Christie,Tallahassee,2015-01-06T00:00:00.000Z,Rick Scott inauguration ceremony,30.4380832,-84.2809332,FL
Rick Perry,Tallahassee,2015-01-06T00:00:00.000Z,Rick Scott inauguration ceremony,30.4380832,-84.2809332,FL
Jeb Bush,Greenwich,2015-01-07T00:00:00.000Z,PAC fundraiser ,41.0264862,-73.6284598,CT
Martin O'Malley,Chicago,2015-01-08T00:00:00.000Z,University of Chicago Institute of Chicago,41.8755546,-87.6244212,IL
Chris Christie,Boston,2015-01-08T00:00:00.000Z,Charlie Baker's inauguration ceremony,42.3604823,-71.0595678,MA
Jeb Bush,New York,2015-01-08T00:00:00.000Z,Met with New Jersey Republicans ,40.7305991,-73.9865812,NY
Jeb Bush,Boston,2015-01-09T00:00:00.000Z,Meetings,42.3604823,-71.0595678,MA
Chris Christie,Springfield,2015-01-12T00:00:00.000Z,Bruce Rauner's inaguration,39.7989763,-89.6443688,IL
Chris Christie,Columbus,2015-01-12T00:00:00.000Z,John Kasich's inaguration,39.9622601,-83.0007065,OH
George Pataki,Hampton,2015-01-12T00:00:00.000Z,Meet and greet with local Republicans,43.6148702,-71.63039594,NH
George Pataki,Concord,2015-01-12T00:00:00.000Z,Meet and greet with local Republicans,43.207106,-71.5370216,NH
Marco Rubio,New York,2015-01-13T00:00:00.000Z,Fundraiser,40.7305991,-73.9865812,NY
Marco Rubio,Birmingham,2015-01-14T00:00:00.000Z,Birmingham Rotary Club,33.5206824,-86.8024326,AL
Rand Paul,Manchester,2015-01-14T00:00:00.000Z,"Met with Ted Gatsas, with business leaders and activists; Q&A on Common Core ",42.9956397,-71.4547891,NH
Rand Paul,Litchfield,2015-01-14T00:00:00.000Z,"Met with Ted Gatsas, with business leaders and activists; Q&A on Common Core ",42.8442536,-71.4797889,NH
Rand Paul,Concord,2015-01-14T00:00:00.000Z,"Met with Ted Gatsas, with business leaders and activists; Q&A on Common Core ",43.207106,-71.5370216,NH
Chris Christie,Columbia,2015-01-14T00:00:00.000Z,Meet-and-greet with South Carolina Republicans; Nikki Haley's inauguration,34.0007493,-81.0343313,SC
Ben Carson,San Diego,2015-01-15T00:00:00.000Z,RNC winter meeting,32.7174209,-117.1627714,CA
Scott Walker,San Diego,2015-01-15T00:00:00.000Z,RNC winter meeting,32.7174209,-117.1627714,CA
Marco Rubio,Atlanta,2015-01-15T00:00:00.000Z,Fundraiser,33.7490987,-84.3901849,GA
Rand Paul,Phoenix,2015-01-15T00:00:00.000Z,Met with party activists and business leaders,33.4467681,-112.0756724,AZ
Rick Perry,San Diego,2015-01-16T00:00:00.000Z,RNC winter meeting,32.7174209,-117.1627714,CA
Chris Christie,Des Moines,2015-01-16T00:00:00.000Z,Terry Brandstad's inaguration ,41.5910641,-93.6037149,IA
Jeb Bush,Los Angeles,2015-01-16T00:00:00.000Z,Set to attend fundraisers for both Right to Rise leadership PAC and the Right to Rise super PAC,34.053717,-118.2427266,CA
Jeb Bush,Indian Wells,2015-01-16T00:00:00.000Z,Set to attend fundraisers for both Right to Rise leadership PAC and the Right to Rise super PAC,33.7217965,-116.3383034,CA
Rand Paul,Reno,2015-01-17T00:00:00.000Z,"Met with local pastors, business leaders and political activists",39.52927,-119.8136744,NV
Rand Paul,Las Vegas,2015-01-17T00:00:00.000Z,"Met with local pastors, business leaders and political activists",36.1662859,-115.149225,NV
Ted Cruz,Myrtle Beach,2015-01-18T00:00:00.000Z,South Carolina Tea Party Coalition Convention,33.6956461,-78.8900409,SC
Ben Carson,Myrtle Beach,2015-01-18T00:00:00.000Z,South Carolina Tea Party Coalition Convention ,33.6956461,-78.8900409,SC
Rick Santorum,Scottsdale,2015-01-18T00:00:00.000Z,Gathering for donors and aides  ,33.5091215,-111.8992365,AZ
Mike Huckabee,Destin,2015-01-18T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",30.3935337,-86.4957834,FL
Rick Santorum,Myrtle Beach,2015-01-19T00:00:00.000Z,South Carolina Tea Party Coalition Convention ,33.6956461,-78.8900409,SC
Marco Rubio,Orangeburg,2015-01-19T00:00:00.000Z,Donor visits,33.4918203,-80.8556476,SC
Marco Rubio,Greenville,2015-01-19T00:00:00.000Z,Donor visits,34.851354,-82.3984882,SC
Donald Trump,Myrtle Beach,2015-01-19T00:00:00.000Z,South Carolina Tea Party Coalition Convention,33.6956461,-78.8900409,SC
Jeb Bush,Washington,2015-01-20T00:00:00.000Z,"Met with lobbyists, CEOs and other donors",38.8949549,-77.0366456,DC
Carly Fiorina,Washington,2015-01-20T00:00:00.000Z,Heritage Foundation's March for Life event,38.8949549,-77.0366456,DC
John Kasich,Pierre,2015-01-20T00:00:00.000Z,Promoting federal balanced budget amendment,44.3683045,-100.3511848,SD
Chris Christie,McLean,2015-01-20T00:00:00.000Z,"Met with technology executives,university presidents and other business officials",38.9342888,-77.1776327,VA
Chris Christie,Washington,2015-01-21T00:00:00.000Z,Meeting with House Republicans ,38.8949549,-77.0366456,DC
John Kasich,Helena,2015-01-21T00:00:00.000Z,Promoting federal balanced budget amendment,46.5927122,-112.036109,MT
John Kasich,Bismarck,2015-01-21T00:00:00.000Z,Promoting federal balanced budget amendment,46.8083268,-100.7837392,ND
Rick Perry,New York,2015-01-21T00:00:00.000Z,"Spoke at ""The Real Economic State of the Union",40.7305991,-73.9865812,NY
Rick Santorum,Leesburg,2015-01-21T00:00:00.000Z,Met with advisers,39.1154496,-77.5645446,VA
Jeb Bush,Salt Lake City,2015-01-22T00:00:00.000Z,Met privately with Mitt Romney,40.7670126,-111.8904308,UT
John Kasich,Cheyenne,2015-01-22T00:00:00.000Z,Promoting federal balanced budget amendment,41.1399814,-104.8202462,WY
Mike Huckabee,Philadelphia,2015-01-22T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",39.952335,-75.163789,PA
Ben Carson,Austin,2015-01-22T00:00:00.000Z,Texas Hospital Associations annual conference ,30.2711286,-97.7436995,TX
John Kasich,Salt Lake City,2015-01-22T00:00:00.000Z,Promoting federal balanced budget amendment,40.7670126,-111.8904308,UT
Jeb Bush,San Francisco,2015-01-23T00:00:00.000Z,National Automobile Dealers Association convention,37.7792768,-122.4192704,CA
John Kasich,Boise,2015-01-23T00:00:00.000Z,Promoting federal balanced budget amendment,43.615046,-116.2044429,ID
Mike Huckabee,New York,2015-01-23T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",40.7305991,-73.9865812,NY
Jim Gilmore,Des Moines,2015-01-24T00:00:00.000Z,Iowa Freedom Summit,41.5910641,-93.6037149,IA
Scott Walker,Des Moines,2015-01-24T00:00:00.000Z,Iowa Freedom Summit; meetings with Iowa activists ,41.5910641,-93.6037149,IA
Ted Cruz,Des Moines,2015-01-24T00:00:00.000Z,Iowa Freedom Summit; grassroots roundtable,41.5910641,-93.6037149,IA
Ben Carson,Des Moines,2015-01-24T00:00:00.000Z,Iowa Freedom Summit,41.5910641,-93.6037149,IA
Chris Christie,Des Moines,2015-01-24T00:00:00.000Z,Iowa Freedom Summit ,41.5910641,-93.6037149,IA
Donald Trump,West Des Moines,2015-01-24T00:00:00.000Z,Eighth Annual Land Investment Expo; dinner party; Iowa Freedom Summit,41.5645337,-93.7595281,IA
Donald Trump,Des Moines,2015-01-24T00:00:00.000Z,Eighth Annual Land Investment Expo; dinner party; Iowa Freedom Summit,41.5910641,-93.6037149,IA
Carly Fiorina,Des Moines,2015-01-24T00:00:00.000Z,Iowa Freedom Summit; Dinner for PAC; Iowa Chapter of the National Contract Management Association,41.5910641,-93.6037149,IA
Carly Fiorina,Cedar Rapids,2015-01-24T00:00:00.000Z,Iowa Freedom Summit; Dinner for PAC; Iowa Chapter of the National Contract Management Association,41.9758872,-91.6704053,IA
Carly Fiorina,West Des Moines,2015-01-24T00:00:00.000Z,Iowa Freedom Summit; Dinner for PAC; Iowa Chapter of the National Contract Management Association,41.5645337,-93.7595281,IA
Ted Cruz,Palm Springs,2015-01-25T00:00:00.000Z,Freedom Partners summit,33.8345281,-116.5389475,CA
Rand Paul,Palm Springs,2015-01-25T00:00:00.000Z,Freedom Partners summit,33.8345281,-116.5389475,CA
Mike Huckabee,Lenexa,2015-01-25T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",38.9536174,-94.7335709,KS
Scott Walker,Palm Springs,2015-01-25T00:00:00.000Z,Freedom Partners summit; fundraiser,33.8345281,-116.5389475,CA
Scott Walker,Indian Wells,2015-01-25T00:00:00.000Z,Freedom Partners summit; fundraiser,33.7217965,-116.3383034,CA
Mike Huckabee,Des Moines,2015-01-25T00:00:00.000Z,"Iowa Freedom Summit; promoting ""God, Guns, Grits & Gravy""",41.5910641,-93.6037149,IA
Mike Huckabee,Cedar Rapids,2015-01-25T00:00:00.000Z,"Iowa Freedom Summit; promoting ""God, Guns, Grits & Gravy""",41.9758872,-91.6704053,IA
Mike Huckabee,Windsor Heights,2015-01-25T00:00:00.000Z,"Iowa Freedom Summit; promoting ""God, Guns, Grits & Gravy""",41.5977669,-93.7082765,IA
Mike Huckabee,Knoxville,2015-01-26T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",35.9603948,-83.9210261,TN
Mike Huckabee,Johnson City,2015-01-26T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",36.3134398,-82.3534728,TN
Rick Perry,Des Moines,2015-01-26T00:00:00.000Z, Iowa Freedom Summit; meet-and-greet with Warren County GOP; breakfast with RJC ,41.5910641,-93.6037149,IA
Rick Perry,Indianola,2015-01-26T00:00:00.000Z, Iowa Freedom Summit; meet-and-greet with Warren County GOP; breakfast with RJC ,41.3580484,-93.5574376,IA
Rick Perry,Spartanburg,2015-01-27T00:00:00.000Z,Spartanburg County Republican Party address,34.9498007,-81.9320157,SC
Mike Huckabee,Bristol,2015-01-27T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",36.5964948,-82.1884666,VA
Mike Huckabee,Roanoke,2015-01-27T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",37.270973,-79.9414313,VA
Mike Huckabee,Lynchburg,2015-01-27T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",37.40088,-79.18449229,VA
Mike Huckabee,Richmond,2015-01-27T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",37.5385087,-77.43428,VA
Rick Santorum,Des Moines,2015-01-27T00:00:00.000Z,Iowa Freedom Summit; Cherokee County GOP event; Siouxland Rally for Life; Scott County Lincoln Club luncheon;  Iowa Renewable Fuels Association confernece,41.5910641,-93.6037149,IA
Rick Santorum,Aurelia,2015-01-27T00:00:00.000Z,Iowa Freedom Summit; Cherokee County GOP event; Siouxland Rally for Life; Scott County Lincoln Club luncheon;  Iowa Renewable Fuels Association confernece,42.71276,-95.4366701,IA
Rick Santorum,Sioux City,2015-01-27T00:00:00.000Z,Iowa Freedom Summit; Cherokee County GOP event; Siouxland Rally for Life; Scott County Lincoln Club luncheon;  Iowa Renewable Fuels Association confernece,42.4966815,-96.4058782,IA
Rick Santorum,Logan,2015-01-27T00:00:00.000Z,Iowa Freedom Summit; Cherokee County GOP event; Siouxland Rally for Life; Scott County Lincoln Club luncheon;  Iowa Renewable Fuels Association confernece,41.6430459,-95.7888975,IA
Rick Santorum,Davenport,2015-01-27T00:00:00.000Z,Iowa Freedom Summit; Cherokee County GOP event; Siouxland Rally for Life; Scott County Lincoln Club luncheon;  Iowa Renewable Fuels Association confernece,41.5236436,-90.5776368,IA
Rick Santorum,Williamsburg,2015-01-27T00:00:00.000Z,Iowa Freedom Summit; Cherokee County GOP event; Siouxland Rally for Life; Scott County Lincoln Club luncheon;  Iowa Renewable Fuels Association confernece,41.6611187,-92.0090673,IA
Rick Santorum,Altoona,2015-01-27T00:00:00.000Z,Iowa Freedom Summit; Cherokee County GOP event; Siouxland Rally for Life; Scott County Lincoln Club luncheon;  Iowa Renewable Fuels Association confernece,41.6441557,-93.4646571,IA
Jeb Bush,Atlanta,2015-01-28T00:00:00.000Z,Meeting with donors,33.7490987,-84.3901849,GA
Jeb Bush,Houston,2015-01-29T00:00:00.000Z,Fundraiser ,29.951919,-95.54091433,TX
Mike Huckabee,Jacksonville,2015-01-29T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",34.7540524,-77.4302415,NC
Mike Huckabee,Fort Bragg,2015-01-29T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",35.1422775,-78.99872779,NC
Mike Huckabee,Raleigh,2015-01-29T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",35.7804015,-78.6390779,NC
Mike Huckabee,Greensboro,2015-01-29T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",36.0726355,-79.7919754,NC
Mike Huckabee,Charlotte ,2015-01-29T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",35.2270869,-80.8431268,NC
Marco Rubio,Palm Springs,2015-01-29T00:00:00.000Z,Freedom Partners summit; fundraisers,33.8345281,-116.5389475,CA
Marco Rubio,Costa Mesa,2015-01-29T00:00:00.000Z,Freedom Partners summit; fundraisers,33.6633386,-117.903317,CA
Marco Rubio,La Jolla,2015-01-29T00:00:00.000Z,Freedom Partners summit; fundraisers,32.8472711,-117.2742086,CA
Marco Rubio,Newport Beach,2015-01-29T00:00:00.000Z,Freedom Partners summit; fundraisers,33.6170092,-117.9294401,CA
Marco Rubio,Beverly Hills,2015-01-29T00:00:00.000Z,Freedom Partners summit; fundraisers,34.0736204,-118.4003563,CA
Scott Walker,Washington,2015-01-30T00:00:00.000Z,American Action Forum event,38.8949549,-77.0366456,DC
Mike Huckabee,Woodstock,2015-01-30T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",34.1014873,-84.5193754,GA
Rick Perry,Harrisburg,2015-01-30T00:00:00.000Z,Republican Party of Pennsylvania's Lincoln Day Dinner,40.2663107,-76.8861122,PA
Jim Gilmore,Nashua,2015-01-30T00:00:00.000Z,Meeting with local veterans; press interviews,42.7653662,-71.467566,NH
Jim Gilmore,Manchester,2015-01-30T00:00:00.000Z,Meeting with local veterans; press interviews,42.9956397,-71.4547891,NH
Jim Gilmore,Pelham,2015-01-30T00:00:00.000Z,Meeting with local veterans; press interviews,42.734534,-71.3245067,NH
Mike Huckabee,Rock Hill,2015-01-30T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",34.9248667,-81.0250784,SC
Mike Huckabee,Greenville,2015-01-30T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",34.851354,-82.3984882,SC
Bernie Sanders,Concord,2015-01-31T00:00:00.000Z,Activist house party ,43.207106,-71.5370216,NH
Rand Paul,Dallas,2015-01-31T00:00:00.000Z,Dallas and Tarrant County Republican Party dinners,32.7761963,-96.7968994,TX
Rand Paul,Fort Worth,2015-01-31T00:00:00.000Z,Dallas and Tarrant County Republican Party dinners,32.753177,-97.3327459,TX
Mike Huckabee,Sarasota,2015-02-01T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",27.3364347,-82.5306527,FL
Mike Huckabee,Jacksonville,2015-02-01T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",30.3321838,-81.655651,FL
Mike Huckabee,Macon,2015-02-02T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",32.8406946,-83.6324022,GA
Mike Huckabee,Fort Benning ,2015-02-02T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",32.3523691,-84.9688191,GA
George Pataki,White River Junction,2015-02-03T00:00:00.000Z,Toured a local public transportation provider,43.6461041,-72.326038,VT
Mike Huckabee,Montgomery,2015-02-03T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",32.3441365,-86.27316086,AL
Mike Huckabee,Birmingham,2015-02-03T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",33.5206824,-86.8024326,AL
Mike Huckabee,Decatur,2015-02-03T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",34.6592565,-87.09009114,AL
Mike Huckabee,Huntsville,2015-02-03T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""",34.677972,-86.45546156,AL
Jeb Bush,Detroit,2015-02-04T00:00:00.000Z, Detroit Economic Club speech,42.3486635,-83.0567375,MI
George Pataki,Lebanon,2015-02-04T00:00:00.000Z,Meeting with local Republicans; town hall meeting at Keene State College,43.6425381,-72.251383,NH
George Pataki,Newport,2015-02-04T00:00:00.000Z,Meeting with local Republicans; town hall meeting at Keene State College,43.3653522,-72.1734205,NH
George Pataki,Keene,2015-02-04T00:00:00.000Z,Meeting with local Republicans; town hall meeting at Keene State College,42.933597,-72.2784264,NH
George Pataki,Concord,2015-02-04T00:00:00.000Z,Meeting with local Republicans; town hall meeting at Keene State College,43.207106,-71.5370216,NH
George Pataki,Goffstown,2015-02-04T00:00:00.000Z,Meeting with local Republicans; town hall meeting at Keene State College,43.0203609,-71.600349,NH
George Pataki,Manchester,2015-02-04T00:00:00.000Z,Meeting with local Republicans; town hall meeting at Keene State College,42.9956397,-71.4547891,NH
Bobby Jindal,Washington,2015-02-05T00:00:00.000Z,American Principles Project speech,38.8949549,-77.0366456,DC
Rick Perry,Washington,2015-02-05T00:00:00.000Z,American Principles Project speech,38.8949549,-77.0366456,DC
Mike Huckabee,Dallas,2015-02-06T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""; Ector County Republican Party Lincoln Day dinner",32.7761963,-96.7968994,TX
Mike Huckabee,College Station,2015-02-06T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""; Ector County Republican Party Lincoln Day dinner",30.6262616,-96.3347249,TX
Mike Huckabee,Austin,2015-02-06T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""; Ector County Republican Party Lincoln Day dinner",30.2711286,-97.7436995,TX
Mike Huckabee,San Angelo,2015-02-06T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""; Ector County Republican Party Lincoln Day dinner",31.4319925,-100.4545797,TX
Mike Huckabee,Odessa,2015-02-06T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""; Ector County Republican Party Lincoln Day dinner",31.8457149,-102.367687,TX
Mike Huckabee,Midland,2015-02-06T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""; Ector County Republican Party Lincoln Day dinner",31.9973662,-102.0779482,TX
Mike Huckabee,Fort Worth,2015-02-06T00:00:00.000Z,"Promoting ""God, Guns, Grits & Gravy""; Ector County Republican Party Lincoln Day dinner",32.753177,-97.3327459,TX
Rand Paul,Des Moines,2015-02-07T00:00:00.000Z,Audit the Fed rally; fundraiser and meet-and-greet with Rod Blum; Iowa State basketball game,41.5910641,-93.6037149,IA
Rand Paul,Marshalltown,2015-02-07T00:00:00.000Z,Audit the Fed rally; fundraiser and meet-and-greet with Rod Blum; Iowa State basketball game,42.0448121,-92.9103964,IA
Rand Paul,Ames,2015-02-07T00:00:00.000Z,Audit the Fed rally; fundraiser and meet-and-greet with Rod Blum; Iowa State basketball game,42.0346917,-93.6201507,IA
Bernie Sanders,Philadelphia,2015-02-07T00:00:00.000Z,Keynoted two progressive summits ,39.952335,-75.163789,PA
Bernie Sanders,Harrisburg,2015-02-07T00:00:00.000Z,Keynoted two progressive summits ,40.2663107,-76.8861122,PA
Bobby Jindal,Washington,2015-02-09T00:00:00.000Z,Promoting new education plan; Tim Scott's school choice forum ,38.8949549,-77.0366456,DC
Chris Christie,West Des Moines,2015-02-09T00:00:00.000Z,Addresses Dallas County Republican Party fundraiser; met with Gov. Terry Branstad,41.5645337,-93.7595281,IA
Carly Fiorina,Bedford,2015-02-10T00:00:00.000Z,Politics and Eggs breakfast ,42.9464737,-71.5159015,NH
Rick Santorum,Bayside,2015-02-10T00:00:00.000Z,"Promoting ""Bella's Gift"" ",40.7684351,-73.7770774,NY
Bobby Jindal,Washington,2015-02-11T00:00:00.000Z,Center for Security Policys Defeat Jihad event,38.8949549,-77.0366456,DC
Chris Christie,Rolling Meadows,2015-02-12T00:00:00.000Z,Northwest Suburban Republican Lincoln Day Dinner,42.0841936,-88.0131275,IL
Carly Fiorina,Washington,2015-02-12T00:00:00.000Z,"LincolnLabs' ""Reboot Congress"" Conference",38.8949549,-77.0366456,DC
Rick Perry,Greenland,2015-02-12T00:00:00.000Z,Strafford County GOP's Lincoln Day Dinner; Seacoast Republican Women dinner,43.0361995,-70.8328322,NH
Rick Perry,Bedford,2015-02-12T00:00:00.000Z,Strafford County GOP's Lincoln Day Dinner; Seacoast Republican Women dinner,42.9464737,-71.5159015,NH
Rick Perry,Dover,2015-02-12T00:00:00.000Z,Strafford County GOP's Lincoln Day Dinner; Seacoast Republican Women dinner,43.198057,-70.8739158,NH
Jeb Bush,New York,2015-02-12T00:00:00.000Z,Fundraisers ,40.7305991,-73.9865812,NY
Marco Rubio,West Des Moines,2015-02-13T00:00:00.000Z,"Promoting ""American Dreams"" ",41.5645337,-93.7595281,IA
Rand Paul,Orlando,2015-02-14T00:00:00.000Z,Rally; Sarasota Republican Party reception; Orange County GOP Lincoln Day dinner; fundraiser,28.5421175,-81.3790462,FL
Rand Paul,Sarasota,2015-02-14T00:00:00.000Z,Rally; Sarasota Republican Party reception; Orange County GOP Lincoln Day dinner; fundraiser,27.3364347,-82.5306527,FL
Rick Perry,Sioux City,2015-02-16T00:00:00.000Z,Town hall,42.4966815,-96.4058782,IA
Ben Carson,Palm Beach,2015-02-16T00:00:00.000Z,Palm Beach Republican Club,26.6279798,-80.4494174,FL
Rand Paul,Atlanta,2015-02-16T00:00:00.000Z,"Meetings with activists, lawmakers",33.7490987,-84.3901849,GA
Chris Christie,Concord,2015-02-16T00:00:00.000Z,Joint Merrimack County-Concord City Republican Committee Lincoln-Reagan Dinner,43.207106,-71.5370216,NH
Jeb Bush,Washington,2015-02-17T00:00:00.000Z,Fundraisers,38.8949549,-77.0366456,DC
Rand Paul,Columbus,2015-02-17T00:00:00.000Z,Clermont County GOP's Lincoln Reagan Day dinner,39.9622601,-83.0007065,OH
Jeb Bush,Chicago,2015-02-18T00:00:00.000Z,Fundraisers; Chicago Council on Global Affairs speech,41.8755546,-87.6244212,IL
Jeb Bush,Lake Forest,2015-02-18T00:00:00.000Z,Fundraisers; Chicago Council on Global Affairs speech,42.2586342,-87.840625,IL
Marco Rubio,Las Vegas,2015-02-18T00:00:00.000Z,"Promoting ""American Dreams"" ",36.1662859,-115.149225,NV
Marco Rubio,Greenville,2015-02-19T00:00:00.000Z,"Promoting ""American Dreams""",34.851354,-82.3984882,SC
John Kasich,Charleston,2015-02-19T00:00:00.000Z,Promoting balanced budget amendment tour; meeting with state lawmakers,38.3498221,-81.6326301,WV
